O24,319,23,1.6449768446082231,0.5923919470413871,524.7476134300232,13.625014781951904,582.9379260540009
O25,345,60,1.21322495488153,0.3822226325670878,418.5626094341278,22.93335795402527,598.9335744380951
O26,570,379,1.3659016107258044,0.3804114657530369,778.5639181137085,144.175945520401,972.9925136566162
O27,383,6,0.3492588330809192,0.10528473059336345,133.76613306999207,0.6317083835601807,1013.9396224021912
O28,312,67,1.1527884228107257,0.6302154348857367,359.6699879169464,42.22443413734436,420.90913343429565
O29,474,242,0.8444452486963715,0.7740334213272599,400.2670478820801,187.3160879611969,465.98102593421936
O30,395,1,1.6845474943330017,0.06286120414733887,665.3962602615356,0.06286120414733887,869.9546957015991
O31,231,3,1.4605407611632244,1.0713926156361897,337.38491582870483,3.2141778469085693,490.98743319511414
O32,592,385,1.146980293699213,0.5146316763642547,679.0123338699341,198.13319540023804,822.9088315963745
O33,700,44,0.9338770808492388,0.2398532574827021,653.7139565944672,10.553543329238892,901.9581758975983
ID,computer_fixation_count,elmo_fixation_count,computer_average_fixation_duration,elmo_average_fixation_duration,computer_total_fixation_duration,elmo_total_fixation_duration,game_time
ID,computer_fixation_count,elmo_fixation_count,computer_average_fixation_duration,elmo_average_fixation_duration,computer_total_fixation_duration,elmo_total_fixation_duration,game_time
O20,314,41,1.2786420158519867,0.590730021639568,401.4935929775238,24.21993088722229,865.9520316123962
O21,389,170,1.0035224071198687,0.3236363691442153,390.3702163696289,55.0181827545166,575.9364776611328
O22,303,44,2.2804302114858093,0.4115519794550809,690.9703540802002,18.10828709602356,792.9497430324554
O24,319,23,1.6449768446082231,0.5923919470413871,524.7476134300232,13.625014781951904,582.9379260540009
O25,345,60,1.21322495488153,0.3822226325670878,418.5626094341278,22.93335795402527,598.9335744380951
O26,570,379,1.3659016107258044,0.3804114657530369,778.5639181137085,144.175945520401,972.9925136566162
O27,383,6,0.3492588330809192,0.10528473059336345,133.76613306999207,0.6317083835601807,1013.9396224021912
O28,312,67,1.1527884228107257,0.6302154348857367,359.6699879169464,42.22443413734436,420.90913343429565
O29,474,242,0.8444452486963715,0.7740334213272599,400.2670478820801,187.3160879611969,465.98102593421936
ID,computer_fixation_count,elmo_fixation_count,computer_average_fixation_duration,elmo_average_fixation_duration,computer_total_fixation_duration,elmo_total_fixation_duration,game_time
O20,314,41,1.2786420158519867,0.590730021639568,401.4935929775238,24.21993088722229,865.9520316123962
O21,389,170,1.0035224071198687,0.3236363691442153,390.3702163696289,55.0181827545166,575.9364776611328
O22,303,44,2.2804302114858093,0.4115519794550809,690.9703540802002,18.10828709602356,792.9497430324554
O24,319,23,1.6449768446082231,0.5923919470413871,524.7476134300232,13.625014781951904,582.9379260540009
O25,345,60,1.21322495488153,0.3822226325670878,418.5626094341278,22.93335795402527,598.9335744380951
O26,570,379,1.3659016107258044,0.3804114657530369,778.5639181137085,144.175945520401,972.9925136566162
O27,383,6,0.3492588330809192,0.10528473059336345,133.76613306999207,0.6317083835601807,1013.9396224021912
O28,312,67,1.1527884228107257,0.6302154348857367,359.6699879169464,42.22443413734436,420.90913343429565
O29,474,242,0.8444452486963715,0.7740334213272599,400.2670478820801,187.3160879611969,465.98102593421936
O30,395,1,1.6845474943330017,0.06286120414733887,665.3962602615356,0.06286120414733887,869.9546957015991
O31,231,3,1.4605407611632244,1.0713926156361897,337.38491582870483,3.2141778469085693,490.98743319511414
O32,592,385,1.146980293699213,0.5146316763642547,679.0123338699341,198.13319540023804,822.9088315963745
O33,700,44,0.9338770808492388,0.2398532574827021,653.7139565944672,10.553543329238892,901.9581758975983
O34,265,322,1.5480365465272148,0.4626710066884201,410.2296848297119,148.98006415367126,460.92806005477905
OX20,490,1087,1.8946998352907143,0.39943481851523366,928.40291929245,434.18564772605896,1060.9523050785065
OX21,290,71,1.730144897822676,0.37873645903359,501.74202036857605,26.890288591384888,608.9503509998322
OX22,350,210,2.489624250275748,0.31990245637439546,871.3684875965118,67.17951583862305,960.9952096939087
OX23,265,5,0.9016248658018292,0.39707126617431643,238.93058943748474,1.985356330871582,537.9747903347015
OX24,670,328,1.1813528189018592,0.4505079003368936,791.5063886642456,147.7665913105011,938.9831211566925
OX25,890,48,1.135209705856409,0.43746525049209595,1010.336638212204,20.998332023620605,1343.9664227962494
OX26,425,23,1.6123878422905418,0.7166786608488663,685.2648329734802,16.483609199523926,776.9790811538696
OX27,610,417,1.0972511909047111,0.5390129912671425,669.3232264518738,224.76841735839844,844.9602353572845
OX28,518,117,1.5775268657787427,0.5446036024990245,817.1589164733887,63.718621492385864,974.9774973392487
OX29,560,131,1.5309348906789506,0.5533211540629845,857.3235387802124,72.48507118225098,1007.9403290748596
OX31,440,325,1.313494593446905,0.30216869500967175,577.9376211166382,98.20482587814331,664.9831595420837
OX32,1071,522,0.7774031634201634,0.3432518399081468,832.598788022995,179.1774604320526,1125.97363615036
OX33,378,531,1.4061101807488336,0.29539835295883726,531.5096483230591,156.85652542114258,703.9281694889069
OX34,589,595,1.1120009454685076,0.28865234711590937,654.9685568809509,171.74814653396606,860.9510383605957
